Player,Nation,Age,league_name,Min,Sh/90,Gls/90,Ast/90,Fls/90,TklW/90,Min/90,Valor_de_Mercado,Performance_Score,sub_valorização,Cluster,pca_1,pca_2
Saud Abdulhamid,Saudi Arabia,26.0,Ligue 1,918,0.49,0.09803921568627452,0.19607843137254904,1.6666666666666667,1.8627450980392157,10.2,5000000.0,0.3035124799373878,16473787.176828645,1,1.3450744019317893,0.7227449872337169
Zakaria Aboukhlal,Morocco,26.0,Serie A,511,1.23,0.0,0.0,2.1135029354207435,2.1135029354207435,5.677777777777778,7500000.0,0.28992837164465957,25868458.32801803,1,2.043082827418069,-0.981995353979173
Jayden Addai,Netherlands,20.0,Serie A,686,1.71,0.3935860058309038,0.0,1.7055393586005831,0.2623906705539359,7.622222222222222,20000000.0,0.08666623514782916,230770379.7896079,2,-1.3558050557591022,-1.3573239774933292
Amine Adli,Morocco,25.0,Premier League,968,1.77,0.2789256198347107,0.09297520661157024,2.4173553719008263,1.3016528925619835,10.755555555555556,20000000.0,0.744559308588511,26861527.039282806,1,0.16941990032341903,-0.9647191808369379
Ebenezer Akinsanmiro,Nigeria,21.0,Serie A,953,1.04,0.0,0.0944386149003148,2.266526757607555,1.5110178384050368,10.588888888888889,6500000.0,0.20888102254623203,31118193.12623933,1,1.5360250370713935,-0.12986026136038822
Carlos Alcaraz,Argentina,23.0,Premier League,675,2.4,0.0,0.13333333333333333,1.0666666666666667,1.0666666666666667,7.5,15000000.0,0.04133706155837284,362870495.2532298,0,-0.5645210767580677,0.08545715956883496
Thiago Almada,Argentina,24.0,La Liga,910,1.68,0.2967032967032967,0.09890109890109891,0.6923076923076923,1.1868131868131868,10.11111111111111,20000000.0,0.12892955923007793,155123465.242827,2,-1.0424122855724596,-0.366258658265596
Sergi Altimira,Spain,24.0,La Liga,918,0.39,0.09803921568627452,0.09803921568627452,0.9803921568627452,2.5490196078431375,10.2,20000000.0,0.15765131576199964,126862245.98463397,1,1.7776778596533003,0.1019456899729433
Arthur,Brazil,23.0,Bundesliga,1048,0.86,0.08587786259541985,0.25763358778625955,1.4599236641221374,0.9446564885496184,11.644444444444444,7000000.0,0.05052521470669312,138544685.868949,0,0.0644211008778411,1.3284064050385662
Zachary Athekame,Switzerland,21.0,Serie A,454,1.19,0.19823788546255508,0.19823788546255508,2.1806167400881056,0.7929515418502203,5.044444444444444,10000000.0,0.3760113087605788,26594944.798235826,0,-0.03954502174371419,0.37174894965539523
Yasin Ayari,Sweden,22.0,Premier League,1718,2.04,0.15715948777648428,0.10477299185098952,1.0477299185098952,1.2048894062863795,19.08888888888889,30000000.0,0.16626504693842634,180434797.0449257,2,-0.6295098758589767,-0.30920013762223425
