Player,Nation,Age,league_name,Min,Sh/90,Gls/90,Ast/90,Fls/90,TklW/90,Min/90,Valor_de_Mercado,Performance_Score,sub_valorização,Cluster,pca_1,pca_2,images
Marc Bernal,Spain,18.0,La Liga,449,1.0,0.4008908685968819,0.2004454342984409,2.0044543429844097,1.8040089086859687,4.988888888888889,30000000.0,0.947359106987026,31666978.00099456,0,0.2930362575252564,-0.1236030332480995,https://upload.wikimedia.org/wikipedia/commons/4/4b/Marc_Bernal_%282025%29.png
Antoine Bernede,France,26.0,Serie A,1801,0.8,0.0499722376457523,0.0999444752915047,2.2987229317046083,1.549139367018323,20.011111111111116,3500000.0,0.2506780615637451,13962131.261773704,1,1.5864669720368487,-0.1114527609857692,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/FC_RB_Salzburg_versus_Wolfsberger_AC_%2810._August_2019%29_33.jpg/500px-FC_RB_Salzburg_versus_Wolfsberger_AC_%2810._August_2019%29_33.jpg
Antonio Blanco,Spain,25.0,La Liga,2226,1.17,0.0404312668463611,0.0404312668463611,2.061994609164421,1.6981132075471697,24.73333333333333,10000000.0,0.2147395722176267,46568035.396221936,1,1.4763350999199911,-0.6297295144051682,https://commons.wikimedia.org/wiki/Special:FilePath/Antonio_blanco.png
Wouter Burger,Netherlands,25.0,Bundesliga,1832,1.33,0.1965065502183406,0.2456331877729257,2.210698689956332,1.62117903930131,20.355555555555554,20000000.0,0.8225223313112544,24315449.24514847,0,0.5628383973649351,0.4472398586645413,https://img.a.transfermarkt.technology/portrait/header/412953-1755092325.jpg?lm=1
Calebe,Brazil,25.0,La Liga,717,0.63,0.0,0.0,2.2594142259414225,1.7573221757322175,7.966666666666667,2000000.0,0.0451204039394663,44325844.30501119,1,2.190052029541273,-0.7019136739743594,https://img.a.transfermarkt.technology/portrait/header/798114-1762367600.jpg?lm=1
Lamine Camara,Senegal,22.0,Ligue 1,1295,0.97,0.0,0.277992277992278,1.3204633204633205,1.806949806949807,14.38888888888889,35000000.0,0.286360801735265,122223432.0755842,0,0.904561142935888,1.428698010689058,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Lamine_Camara_France_v_Senegal_16_June_2026-239_%28cropped%29.jpg/500px-Lamine_Camara_France_v_Senegal_16_June_2026-239_%28cropped%29.jpg
Eduardo Camavinga,France,23.0,La Liga,1142,0.79,0.0788091068301226,0.0,2.12784588441331,2.285464098073555,12.688888888888888,50000000.0,0.3577325679164876,139769214.44757152,1,2.2562048610524403,-1.0070371450337512,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ofrenda_de_la_Liga_y_la_Champions-13-L.Mill%C3%A1n_%2852109790215%29_%28cropped%29.jpg/500px-Ofrenda_de_la_Liga_y_la_Champions-13-L.Mill%C3%A1n_%2852109790215%29_%28cropped%29.jpg
Maxence Caqueret,France,26.0,Serie A,1180,1.22,0.1525423728813559,0.3050847457627119,1.4491525423728815,1.4491525423728815,13.11111111111111,15000000.0,0.5061322829453283,29636520.93620805,0,0.0072323101602014,1.2763396490922403,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Maxence_Caqueret_%28cropped%29.jpg/500px-Maxence_Caqueret_%28cropped%29.jpg
Johnny Cardoso,United States,24.0,La Liga,708,0.25,0.0,0.0,2.0338983050847457,2.1610169491525424,7.866666666666666,22000000.0,0.0306002748407396,718947790.9757309,1,2.6535140644595745,-0.5814150759471849,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Johnny_Cardoso_USMNT_v_Belgium_Mar_28_2026-115_%28cropped%29.jpg/500px-Johnny_Cardoso_USMNT_v_Belgium_Mar_28_2026-115_%28cropped%29.jpg
Cesare Casadei,Italy,23.0,Serie A,1614,1.62,0.2230483271375464,0.0,2.453531598513011,0.6691449814126395,17.933333333333334,14000000.0,0.2418989574312321,57875404.460889295,1,0.0469464111918674,-1.3191000681336722,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Norway_Italy_-_June_2025_A_28_%28cropped%29.jpg/500px-Norway_Italy_-_June_2025_A_28_%28cropped%29.jpg
